Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-02-15,189.87,192.62,189.05,192.39,4997551.0,0.0,1.0,189.87,192.62,189.05,192.39,4997551.0
2019-02-14,187.5,188.93,186.0025,187.71,2600648.0,0.0,1.0,187.5,188.93,186.0025,187.71,2600648.0
2019-02-13,186.3,188.68,185.92,188.41,4146937.0,0.0,1.0,186.3,188.68,185.92,188.41,4146937.0
2019-02-12,183.84,186.4,183.52,185.52,3754523.0,0.0,1.0,183.84,186.4,183.52,185.52,3754523.0
2019-02-11,185.0,185.42,182.75,182.92,3729222.0,0.0,1.0,185.0,185.42,182.75,182.92,3729222.0
2019-02-08,183.05,184.58,182.72,184.54,2792352.0,0.0,1.0,183.05,184.58,182.72,184.54,2792352.0
2019-02-07,183.74,184.9231,182.45,184.07,2793448.0,0.0,1.0,183.74,184.9231,182.45,184.07,2793448.0
2019-02-06,186.69,186.69,184.06,184.72,3071927.0,0.0,1.0,186.69,186.69,184.06,184.72,3071927.0
2019-02-05,186.89,186.99,184.69,186.39,3995341.0,0.0,1.0,186.89,186.99,184.69,186.39,3995341.0
2019-02-04,184.3,186.43,183.84,186.43,3049925.0,0.0,1.0,184.3,186.43,183.84,186.43,3049925.0
2019-02-01,184.03,185.15,182.83,184.37,4513100.0,0.0,1.0,184.03,185.15,182.83,184.37,4513100.0
2019-01-31,181.5,184.67,181.06,183.53,5138001.0,0.0,1.0,181.5,184.67,181.06,183.53,5138001.0
2019-01-30,180.47,184.2,179.78,182.18,5197755.0,0.0,1.0,180.47,184.2,179.78,182.18,5197755.0
2019-01-29,178.96,180.15,178.09,179.69,3685658.0,0.0,1.0,178.96,180.15,178.09,179.69,3685658.0
2019-01-28,178.97,179.99,177.41,179.83,4091373.0,0.0,1.0,178.97,179.99,177.41,179.83,4091373.0
2019-01-25,179.78,180.87,178.61,180.4,4502516.0,0.0,1.0,179.78,180.87,178.61,180.4,4502516.0
2019-01-24,177.0,177.53,175.3,177.29,3860309.0,0.0,1.0,177.0,177.53,175.3,177.29,3860309.0
2019-01-23,176.59,178.06,174.53,176.89,4910402.0,0.0,1.0,176.59,178.06,174.53,176.89,4910402.0
2019-01-22,177.49,178.6048,175.3626,177.11,6272715.0,0.0,1.0,177.49,178.6048,175.3626,177.11,6272715.0
2019-01-18,176.98,180.04,176.18,179.58,6371422.0,0.0,1.0,176.98,180.04,176.18,179.58,6371422.0
2019-01-17,174.01,175.46,172.0,174.87,6460254.0,0.0,1.0,174.01,175.46,172.0,174.87,6460254.0
2019-01-16,177.09,177.93,175.86,177.04,4037660.0,0.0,1.0,177.09,177.93,175.86,177.04,4037660.0
